Lon     Lat     H       Tdis    Strike  Dip     AZconv  Vtot    Vcorr   Age     DesRat  Phi/100 Front   Name                              ArcName
-175.53 -20.85  100     205     17      50      -77     145.8   145.5   109.0   112.0   122.1   y       UNNAMED(2)                        Tonga
-175.75 -21.15  117     215     19      49      -78     140.0   138.8   109.0   104.2   113.6   n       1                                 Tonga
-175.65 -21.38  93      195     20      48      -77     136.5   135.3   109.0   101.2   110.3   y       UNNAMED(1)                        Tonga
-175.75 -21.38  105     205     21      48      -78     136.1   134.4   109.0   100.4   109.5   n       2.5                               Tonga
-175.93 -21.83  100     195     28      50      -78     127.9   123.1   109.0   93.7    102.1   y       3                                 Tonga
-176.03 -22.02  99      200     29      51      -79     124.4   118.8   109.0   91.8    100.1   y       5a_N                              Tonga
-176.10 -22.08  103     200     29      51      -79     123.1   117.4   109.0   91.0    99.2    y       5_SW                              Tonga
-176.23 -22.13  115     205     28      52      -80     121.9   115.9   109.0   90.7    98.9    n       4_S                               Tonga
-176.20 -22.18  108     200     28      52      -79     121.1   115.2   109.0   90.4    98.5    y       cone_SE_of_Volc_4                 Tonga
-176.28 -22.00  130     220     28      51      -80     124.0   118.0   109.0   91.5    99.7    n       4                                 Tonga
-176.35 -22.47  107     200     25      53      -80     115.7   111.5   109.0   88.6    96.6    y       6.5                               Tonga
-176.43 -22.55  112     200     25      53      -81     114.2   109.9   109.0   87.8    95.7    n       7B                                Tonga
-176.38 -22.70  95      190     25      53      -80     111.7   107.7   109.0   86.4    94.2    y       7                                 Tonga
-176.45 -22.85  95      190     25      54      -80     109.0   105.2   109.0   85.0    92.6    n       8                                 Tonga
-176.40 -22.98  78      180     26      54      -80     106.9   102.9   109.0   83.4    90.9    y       8_miles_S_of_Volc_8               Tonga
-28.08  -55.92  54      90      -57     72      -101    69.2    48.4    73.5    46.0    33.8    y       PROTECTOR_SHOAL                   Scotia
-27.57  -56.30  79      135     -45     68      -102    70.3    59.3    70.0    55.0    38.5    y       ZAVODOVSKI                        Scotia
-27.15  -56.70  102     155     -35     66      -103    71.4    66.2    64.5    60.5    39.0    n       HODSON(VISOKOI)                   Scotia
-26.72  -57.08  93      155     -20     63      -103    72.4    71.9    59.5    64.1    38.1    y       CANDLEMAS_ISLAND                  Scotia
-26.45  -57.78  93      160     -1      60      -104    74.2    72.4    51.5    62.7    32.3    y       MICHAEL(SAUNDERS)                 Scotia
-26.58  -59.03  100     135     9       64      -103    77.1    71.5    29.5    64.3    19.0    y       BRISTOL_ISLAND                    Scotia
-27.37  -59.45  147     125     46      59      -101    77.9    41.1    28.0    35.2    9.9     y       THULE_ISLANDS                     Scotia
