Lon     Lat     H       +-      Hcorr   Tdis    +-      Strike  +-      Dip     +-      AzConv  +-      Vtot    +-      Vc      +-      Age     +-      DesRat  +-      Phi/100 +-      MeanDis Thick   ef      NTot    %Below  MaxDep  Vsource PltPair         ASource Name                            Short
deg     deg     km      -       km      km      -       deg     -       deg     -       deg     +-      km/Ma   -       km/Ma   -       Ma      -       km/Ma   -       km      -       km      km      km      .       .       km      .       .               .       .                               .
151.75  46.83   78.3    3.9     92.0    182.6   4.1     45.8    3.3     46.4    0.2     -58.5   0.5     80.5    0.2     77.4    1.3     108.5   0.8     56.0    0.9     60.7    0.6     21.8    45.2    4.7     137     99      505.5   1       PCFC-NOAM       8,9     South_Kurile                    SK
147.00  44.62   100.2   4.8     112.1   220.7   9.4     52.4    1.3     41.9    2.6     -61.6   0.5     81.8    0.6     74.7    0.6     115.2   1.4     49.7    2.2     57.2    2.0     22.5    42.8    4.4     305     99      207.6   1       PCFC-NOAM       8,9     Hokkaido                        HK
140.88  40.65   103.6   9.5     111.5   313.6   20.1    15.7    4.0     28.7    0.7     -65.0   0.0     82.9    0.2     81.6    0.9     129.3   1.1     39.2    0.7     50.7    1.1     15.3    36      3.5     321     99      363.8   1       PCFC-NOAM       8       North_Honshu                    NH
140.28  37.62   96.2    4.0     103.3   291.4   7.5     21.1    3.4     33.9    1.3     -65.7   0.3     83.3    0.2     82.7    0.5     130.5   0.9     46.3    1.7     60.4    2.0     22.5    48      3.0     75      100     372.4   1       PCFC-NOAM       8       Central_Honshu                  CH
139.77  33.13   117.0   4.4     130.2   221.0   11.2    -0.7    6.0     46.1    3.1     -86.9   0.6     46.3    1.4     45.6    1.7     135.4   0.9     32.6    0.8     44.1    1.3     17.6    42.4    4.6     147     97      443.7   2       PCFC-PHIL       8,9     Izu                             IZ
140.88  27.24   127.8   12.7    152.9   213.3   10.5    -12.2   10.7    62.8    1.2     -81.2   1.2     34.5    1.6     31.6    4.3     145.3   1.3     28.1    3.9     40.8    5.4     15.2    53.6    5.7     108     87      587.0   2       PCFC-PHIL       8,9     Bonin                           BO
143.44  21.93   145.8   15.2    171.5   195.0   5.8     324.2   6.9     61.5    1.7     -68.0   3.4     28.8    0.9     15.3    1.3     147.8   0.5     13.4    0.9     19.9    1.4     22.0    41.6    6.1     80      99      360.6   2       PCFC-PHIL       8,9     North_Marianas                  NM
145.83  17.6    134.2   11.8    156.2   222.8   8.4     -0.2    8.5     56.9    2.5     -59.1   1.8     24.5    1.4     20.5    0.4     151.6   1.4     17.1    0.6     25.9    0.7     21.8    48      6.0     268     97      635.7   2       PCFC-PHIL       8,9     South_Marianas                  SM
128.25  27.85   104.8   11.6    120.0   206.2   42.6    24.3    4.4     53.8    2.8     -55.3   0.5     73.8    1.5     72.0    2.6     27.0    1.7     57.6    0.6     15.6    1.0     9.5     26.8    4.5     32      97      270.3   2       PHIL-SOCH       8       Kyushu                          KY
130.57  31.22   71.5    23.0    83.3    187.5   25.0    60.5    39.0    43.5    3.0     -57.0   0.0     84.2    7.7     69.5    20.2    43.0    0       48.1    16.4    17.1    0       9.3     26.4    4.3     98      94      272.4   2       PHIL-SOCH       8       Ryukyu                          RY
125.52  9.59    120.8   15.0    139.8   183.0   19.6    186.4   13.2    57.4    3.5     119.1   0.4     100.9   1.3     87.7    8.2     32.4    2.3     73.1    5.0     23.6    3.2     11.1    31.6    5.1     122     93      247.0   2       SUND-PHIL       8       North_Philippines               NP
